country,year,gdp_per_capita,unemployment_rate,suicide_rate
United States,2000,36450,4.0,10.4
United States,2005,44308,5.1,11.0
United States,2008,48570,5.8,11.6
United States,2009,47196,9.3,12.0
United States,2010,48468,9.6,12.1
United States,2015,56863,5.3,13.3
United States,2019,65298,3.7,14.5
United States,2020,63544,8.1,13.5
United States,2021,69288,5.4,14.1
Japan,2000,38534,4.7,24.1
Japan,2005,35782,4.4,24.2
Japan,2010,44508,5.1,23.4
Japan,2015,34524,3.4,18.5
Japan,2019,40247,2.4,16.7
Japan,2020,39919,2.8,16.4
Japan,2021,39340,2.8,16.8
Germany,2000,23719,7.9,13.5
Germany,2005,34186,11.2,13.0
Germany,2010,41788,7.0,12.3
Germany,2015,41177,4.6,12.0
Germany,2019,46468,3.1,11.5
Germany,2020,46208,3.8,11.2
Germany,2021,50802,3.6,10.9
South Korea,2000,12257,4.4,14.6
South Korea,2005,19403,3.7,26.1
South Korea,2010,23087,3.7,33.5
South Korea,2015,28732,3.6,26.5
South Korea,2019,31762,3.8,28.6
South Korea,2020,31638,4.0,27.3
South Korea,2021,34998,3.7,26.0
Brazil,2000,3695,9.5,4.6
Brazil,2005,4790,9.3,5.0
Brazil,2010,11286,6.7,5.3
Brazil,2015,8814,8.5,5.7
Brazil,2019,8717,11.9,6.4
Brazil,2020,6797,13.5,6.6
Brazil,2021,7507,13.2,6.9
Russia,2000,1775,10.6,39.4
Russia,2005,5337,7.1,32.2
Russia,2010,10675,7.3,26.5
Russia,2015,9313,5.6,24.6
Russia,2019,11585,4.6,21.6
Russia,2020,10127,5.8,20.1
Russia,2021,12172,4.8,19.5
India,2000,443,4.3,10.6
India,2005,714,4.4,10.5
India,2010,1358,3.5,11.0
India,2015,1606,3.5,12.2
India,2019,2104,5.3,12.9
India,2020,1913,7.1,12.7
India,2021,2238,5.9,13.0
Mexico,2000,7157,2.6,3.9
Mexico,2005,8349,3.6,4.2
Mexico,2010,9271,5.3,4.5
Mexico,2015,9616,4.4,5.0
Mexico,2019,10118,3.5,5.3
Mexico,2020,8529,4.4,5.6
Mexico,2021,10046,4.1,5.8
Australia,2000,21686,6.3,12.5
Australia,2005,33978,5.0,11.6
Australia,2010,51845,5.2,10.9
Australia,2015,51363,6.1,12.6
Australia,2019,55060,5.2,12.1
Australia,2020,51812,6.5,12.0
Australia,2021,60834,5.1,12.1
Argentina,2000,7726,15.1,7.5
Argentina,2005,5109,11.6,7.8
Argentina,2010,10385,7.7,7.6
Argentina,2015,13467,6.5,7.9
Argentina,2019,9912,9.8,8.1
Argentina,2020,8440,11.0,7.8
Argentina,2021,10636,8.8,8.0
France,2000,22460,9.1,17.5
France,2005,34878,8.9,16.3
France,2010,40703,9.3,15.5
France,2015,36527,10.4,14.6
France,2019,40494,8.4,13.8
France,2020,39037,8.0,13.2
France,2021,43518,7.9,12.8
United Kingdom,2000,26445,5.4,8.2
United Kingdom,2005,40290,4.8,7.8
United Kingdom,2010,39435,7.8,7.5
United Kingdom,2015,44305,5.3,7.9
United Kingdom,2019,42330,3.8,8.0
United Kingdom,2020,40285,4.5,7.7
United Kingdom,2021,46200,4.5,7.9
Chile,2000,5321,9.7,9.5
Chile,2005,7600,9.2,10.2
Chile,2010,12785,8.2,10.8
Chile,2015,13653,6.2,10.5
Chile,2019,14896,7.2,10.7
Chile,2020,13232,10.8,10.2
Chile,2021,16265,8.9,10.5
Colombia,2000,2472,13.3,4.5
Colombia,2005,3386,11.8,4.8
Colombia,2010,6250,11.8,5.1
Colombia,2015,6044,8.9,5.5
Colombia,2019,6426,10.5,5.8
Colombia,2020,5333,15.9,6.0
Colombia,2021,6131,13.7,6.2
Peru,2000,1967,7.4,2.2
Peru,2005,2765,9.6,2.4
Peru,2010,5075,7.9,2.6
Peru,2015,6053,6.5,2.8
Peru,2019,6978,6.6,3.0
Peru,2020,6127,13.0,3.2
Peru,2021,6692,10.9,3.4
Lithuania,2000,3591,16.4,44.7
Lithuania,2005,7836,8.3,38.6
Lithuania,2010,11984,17.8,34.1
Lithuania,2015,14390,9.1,30.4
Lithuania,2019,19456,6.3,24.4
Lithuania,2020,19998,8.5,22.6
Lithuania,2021,23433,7.1,21.8
Finland,2000,24265,9.8,20.3
Finland,2005,38969,8.4,18.2
Finland,2010,46205,8.4,17.0
Finland,2015,42425,9.4,16.1
Finland,2019,48685,6.7,15.3
Finland,2020,48783,7.8,14.8
Finland,2021,53654,7.6,14.5
Sweden,2000,29299,5.6,11.4
Sweden,2005,41050,7.7,12.8
Sweden,2010,52076,8.6,12.3
Sweden,2015,50812,7.4,13.2
Sweden,2019,51615,6.8,13.8
Sweden,2020,52274,8.3,13.2
Sweden,2021,60239,8.8,12.9
South Africa,2000,3020,25.4,14.2
South Africa,2005,5440,23.8,15.8
South Africa,2010,7390,24.9,17.5
South Africa,2015,5744,25.4,18.6
South Africa,2019,6001,28.7,20.2
South Africa,2020,5091,30.8,19.5
South Africa,2021,7055,34.3,19.0
Uruguay,2000,7005,13.6,15.2
Uruguay,2005,5192,12.2,16.1
Uruguay,2010,11939,7.5,16.8
Uruguay,2015,15473,7.5,17.4
Uruguay,2019,16190,8.9,18.4
Uruguay,2020,15438,10.4,18.8
Uruguay,2021,17313,9.3,19.0
